@relation jAudio
@ATTRIBUTE "Class" {CavaloMarinho, Coco, Ciranda, MaracatuSolto, MaracatuVirado}
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@DATA
CavaloMarinho,3.317E1,2.809E-1,2.659E-4,1.839E2,4.039E-4,1.491E-2,3.917E-2,5.754E1,2.407E1,1.252E0,1.03E-4,1.398E1,4.746E0,3.767E0,2.325E0,2.929E0,2.507E0,2.177E0,2.252E0,2.419E0,2.528E0,3.123E0,3.072E0,2.637E0,2.997E-1,3.901E-1,1.872E-1,1.598E-1,1.344E-1,1.179E-1,1.097E-1,1.076E-1,1.01E-1,0E0,5.989E1,4.482E-1,1.904E-4,1.59E3,7.752E-4,3.611E-2,5.695E-1,1.293E2,1.75E2,3.316E1,9.278E-3,-1.337E2,-3.661E0,-4.04E0,-2.033E0,-1.294E0,-3.102E0,-1.169E0,-1.492E0,-2.659E0,-1.967E0,1.058E0,3.799E-1,2.134E-1,-6.15E-1,6.369E-3,7.874E-2,1.204E-1,1.799E-3,5.583E-2,-1.997E-2,-2.083E-2,9.203E-3,0E0
Ciranda,1.153E1,1.06E-1,2.29E-3,1.478E2,1.415E-3,4.638E-2,4.114E-2,2.562E1,5.266E0,6.364E1,1.394E-4,1.235E1,3.037E0,2.185E0,1.978E0,2.096E0,1.878E0,1.638E0,1.564E0,1.631E0,1.589E0,1.426E0,1.524E0,1.417E0,7.122E-2,2.343E-1,1.241E-1,1.001E-1,8.402E-2,8.327E-2,7.725E-2,8.007E-2,7.793E-2,0E0,2.611E1,1.69E-1,3.722E-3,1.55E3,4.982E-3,2.155E-1,4.83E-1,6.947E1,2.176E2,1.206E3,9.166E-3,-8.392E1,3.967E0,3.038E-1,-2.117E-1,-3.537E-1,5.938E-1,1.6E-1,-8.804E-1,-1.201E0,-7.79E-1,-1.815E-1,-1.488E0,-1.716E0,-8.909E-1,2.512E-1,-3.591E-2,9.97E-2,-2.052E-2,3.972E-2,-6.031E-3,4.099E-2,-6.607E-4,0E0
Coco,3.674E1,3.011E-1,2.807E-3,1.747E2,1.466E-3,5.89E-2,2.447E-2,5.935E1,2.422E1,3.119E1,1.378E-4,1.456E1,4.16E0,3.914E0,2.796E0,2.928E0,2.228E0,2.129E0,1.827E0,1.923E0,1.687E0,1.653E0,1.866E0,1.662E0,3.131E-1,2.867E-1,2.237E-1,2.038E-1,1.575E-1,1.225E-1,1.36E-1,1.338E-1,1.292E-1,0E0,7.351E1,6.203E-1,2.914E-3,1.546E3,3.081E-3,1.464E-1,5.539E-1,1.647E2,1.932E2,5.769E2,9.306E-3,-1.009E2,1.946E0,3.933E0,-7.54E-1,2.562E0,-1.517E0,-6.525E-1,-2.82E-1,-1.065E0,-1.204E0,1.61E-1,-1.279E0,4.123E-1,-4.598E-1,-4.134E-1,-5.01E-2,-4.254E-2,4.049E-2,1.284E-1,1.902E-2,-2.458E-2,1.033E-2,0E0
MaracatuSolto,1.889E1,1.451E-1,3.768E-4,1.479E2,6.381E-4,2.283E-2,6.099E-2,3.903E1,2.387E1,1.543E1,1.692E-4,1.41E1,4.625E0,3.98E0,2.864E0,3.355E0,2.902E0,2.667E0,2.72E0,2.342E0,2.657E0,2.398E0,2.567E0,2.784E0,1.595E-1,3.004E-1,2.45E-1,2.496E-1,1.716E-1,1.996E-1,1.445E-1,1.359E-1,1.398E-1,0E0,4.225E1,2.619E-1,4.568E-4,1.619E3,1.64E-3,6.96E-2,4.902E-1,9.894E1,2.05E2,1.235E2,9.168E-3,-1.176E2,-1.991E0,-4.853E0,-3.149E0,-3.845E0,-2.957E-1,-2.872E0,-1.258E0,-3.657E0,-2.317E0,-1.877E0,-1.04E-1,-6.089E-1,-7.907E-1,3.845E-1,-1.661E-1,2.089E-1,-7.303E-2,1.647E-1,9.669E-2,-8.826E-3,2.481E-2,0E0
MaracatuVirado,1.859E1,2.074E-1,9.318E-4,1.738E2,8.59E-4,3.184E-2,2.655E-2,3.514E1,1.052E-12,3.454E1,7.447E-5,1.252E1,2.741E0,2.209E0,1.814E0,1.506E0,1.466E0,1.442E0,1.356E0,1.406E0,1.256E0,1.207E0,1.132E0,1.073E0,1.483E-1,1.947E-1,1.314E-1,1.069E-1,7.584E-2,6.562E-2,7.247E-2,6.49E-2,5.794E-2,0E0,4.554E1,3.743E-1,1.311E-3,1.517E3,2.116E-3,1.062E-1,5.161E-1,1.232E2,2.206E2,3.05E2,9.292E-3,-9.547E1,1.282E0,-1.59E-1,-6.078E-1,2.843E-1,1.692E-1,8.052E-2,-1.925E-1,-4.535E-1,-3.437E-2,-3.944E-1,-3.722E-1,-7.302E-1,-7.303E-1,-1.002E-1,6.392E-2,1.99E-2,-8.218E-2,8.393E-2,3.905E-2,-1.43E-2,-1.935E-2,0E0
CavaloMarinho,1.384E1,1.259E-1,2.855E-3,1.518E2,2.022E-3,7.044E-2,3.877E-2,3.131E1,1.596E1,1.821E2,1.43E-4,1.302E1,4.384E0,3.873E0,2.888E0,3.048E0,2.787E0,2.306E0,2.229E0,2.115E0,2.425E0,2.43E0,2.681E0,2.23E0,1.116E-1,2.67E-1,2.201E-1,1.86E-1,1.556E-1,1.746E-1,1.393E-1,1.175E-1,1.199E-1,0E0,2.847E1,1.578E-1,2.856E-3,1.62E3,4.915E-3,1.992E-1,4.973E-1,6.74E1,2.11E2,1.131E3,9.173E-3,-9.744E1,1.853E0,-2.752E0,-3.856E0,-1.555E0,-2.827E0,1.119E0,7.761E-1,3.026E0,1.412E0,2.261E-1,-2.717E0,-1.664E0,-8.863E-1,3.711E-1,-4.026E-2,2.385E-1,1.873E-1,4.268E-2,-3.604E-2,1.135E-1,1.204E-1,0E0
Ciranda,1.487E1,1.151E-1,1.863E-3,1.6E2,1.396E-3,5.057E-2,3.746E-2,3.165E1,2.426E1,4.523E1,1.686E-4,1.39E1,3.085E0,3.692E0,2.692E0,3.183E0,1.905E0,2.006E0,1.965E0,1.687E0,1.832E0,1.974E0,1.938E0,1.864E0,1.169E-1,1.678E-1,1.895E-1,2.457E-1,1.527E-1,1.424E-1,1.575E-1,1.176E-1,9.621E-2,0E0,5.019E1,3.347E-1,2.168E-3,1.581E3,3.452E-3,1.539E-1,4.59E-1,1.126E2,1.958E2,6.179E2,9.003E-3,-9.376E1,-7.755E0,-3.625E0,-5.34E0,-1.665E0,7.979E-1,-9.024E-2,1.184E-2,-1.18E0,-6.2E-1,-4.49E-1,-2.316E-1,-7.302E-1,-7.429E-1,5.064E-1,-3.121E-1,1.187E-1,1.547E-1,8.372E-2,3.798E-2,1.619E-1,6.09E-2,0E0
Coco,2.489E1,2.965E-1,1.674E-3,1.502E2,1.287E-3,4.205E-2,3.571E-2,4.85E1,5.134E0,2.713E1,8.48E-5,1.199E1,3.472E0,3.365E0,2.727E0,2.742E0,2.178E0,2.138E0,2.006E0,1.956E0,2.052E0,2.019E0,2.086E0,2.056E0,2.074E-1,3.377E-1,2.166E-1,1.617E-1,1.367E-1,1.222E-1,1.22E-1,1.122E-1,1.007E-1,0E0,4.819E1,3.707E-1,2.318E-3,1.556E3,3.445E-3,1.54E-1,5.231E-1,1.139E2,2.193E2,6.391E2,9.148E-3,-9.708E1,1.003E0,-2.117E0,-1.835E0,-5.43E-1,1.449E0,9.863E-1,-2.298E-1,-1.096E0,-1.507E0,-1.022E0,-1.089E0,-5.224E-1,-7.121E-1,-2.23E-1,2.642E-1,7.77E-2,3.779E-2,5.933E-2,4.666E-2,6.894E-2,4.417E-2,0E0
MaracatuSolto,2.96E1,2.088E-1,6.427E-5,1.595E2,1.821E-4,7.918E-3,6.172E-2,5.047E1,2.664E0,2.253E0,2.301E-4,1.499E1,4.421E0,2.443E0,1.922E0,1.956E0,1.794E0,1.764E0,1.595E0,1.797E0,1.765E0,1.683E0,1.837E0,1.585E0,2.44E-1,1.766E-1,1.296E-1,1.025E-1,8.965E-2,8.589E-2,7.881E-2,7.532E-2,7.558E-2,0E0,7.339E1,5.708E-1,5.915E-5,1.567E3,3.754E-4,1.975E-2,5.926E-1,1.651E2,1.714E2,1.046E1,9.577E-3,-1.415E2,-4.682E0,-1.04E0,-2.716E0,-8.903E-1,-1.359E0,-1.679E0,-2.427E0,-1.885E0,-2.528E0,-2.262E0,-1.486E0,-6.944E-1,-4.809E-1,-6.547E-2,-1.182E-1,3.851E-2,2.611E-2,4.014E-2,3.41E-2,3.258E-2,1.061E-2,0E0
MaracatuVirado,1.949E1,2.184E-1,1.058E-3,1.423E2,1.03E-3,4.207E-2,3.125E-2,4.065E1,1.858E1,8.933E0,2.262E-4,1.843E1,5.834E0,5.164E0,2.087E0,2.323E0,1.881E0,1.655E0,1.546E0,1.828E0,1.644E0,1.598E0,1.395E0,1.467E0,1.587E-1,3.84E-1,1.543E-1,1.323E-1,8.775E-2,8.725E-2,8.79E-2,9.154E-2,8.009E-2,0E0,4.1E1,3.141E-1,8.55E-4,1.516E3,1.634E-3,7.679E-2,5.831E-1,1.037E2,2.174E2,1.51E2,9.879E-3,-1.113E2,8.652E-1,-1.755E0,-2.643E0,8.627E-1,-5.579E-1,3.263E-1,6.166E-1,-6.057E-1,-3.193E-1,-8.782E-1,-9.663E-1,-8.88E-1,-7.673E-1,2.269E-2,-9.418E-2,1.156E-1,7.318E-2,9.073E-2,5.295E-2,3.455E-2,1.202E-2,0E0
